,bed1_averageRent,bed1_minRent,bed1_maxRent,bed1_totalRentals,bed2_averageRent,bed2_minRent,bed2_maxRent,bed2_totalRentals,bed3_averageRent,bed3_minRent,bed3_maxRent,bed3_totalRentals,bed4_averageRent,bed4_minRent,bed4_maxRent,bed4_totalRentals,bed5_averageRent,bed5_minRent,bed5_maxRent,bed5_totalRentals,bed0_averageRent,bed0_minRent,bed0_maxRent,bed0_totalRentals
90001,1453.75,1200.0,1895.0,8.0,2065.0,1595.0,2400.0,9.0,3132.5,2900.0,3500.0,6.0,3100.0,3000.0,3200.0,2.0,4000.0,4000.0,4000.0,1.0,,,,
90002,1405.33,757.0,1764.0,3.0,2336.5,1800.0,3200.0,10.0,2827.22,1800.0,3500.0,9.0,3500.0,3500.0,3500.0,1.0,3300.0,3300.0,3300.0,1.0,1200.0,1200.0,1200.0,1.0
90003,1768.64,1375.0,2200.0,11.0,2236.67,1695.0,2850.0,24.0,3152.13,1447.0,10000.0,15.0,3086.86,1500.0,3804.0,7.0,3480.0,2900.0,4100.0,10.0,1658.6,1093.0,2600.0,5.0
90004,2362.75,1200.0,5100.0,135.0,3413.51,1805.0,6000.0,100.0,5105.72,3000.0,24500.0,58.0,9722.58,1305.0,20000.0,12.0,16833.17,9499.0,21000.0,6.0,1568.54,975.0,2700.0,94.0
90005,2615.6,1350.0,4869.0,99.0,3750.29,1171.0,22995.0,65.0,5932.92,3200.0,26995.0,13.0,9737.5,6975.0,12500.0,2.0,11937.5,6850.0,18000.0,4.0,1778.79,621.0,3693.0,80.0
90006,2080.89,825.0,3495.0,89.0,2838.21,1745.0,4140.0,52.0,3314.29,1025.0,4750.0,21.0,2850.65,1100.0,7600.0,23.0,4258.64,1000.0,5795.0,11.0,1458.37,950.0,2550.0,67.0
90007,1649.69,550.0,2600.0,36.0,2492.67,999.0,4050.0,33.0,3996.93,650.0,6650.0,42.0,4776.42,1000.0,8200.0,19.0,4486.6,650.0,10300.0,15.0,2587.03,825.0,12900.0,39.0
90008,1850.1,911.0,2495.0,59.0,2366.63,1522.0,4000.0,52.0,3889.5,2055.0,6100.0,14.0,10325.0,6475.0,13500.0,3.0,7125.0,3750.0,10500.0,2.0,1495.5,1195.0,1775.0,10.0
90010,3272.8,1795.0,15000.0,25.0,4264.54,3100.0,7669.0,26.0,5000.0,4500.0,5300.0,4.0,25000.0,25000.0,25000.0,1.0,,,,,2749.3,1995.0,3500.0,23.0
90011,1299.25,600.0,1795.0,8.0,2172.47,1950.0,2452.0,15.0,2835.08,1350.0,4200.0,13.0,3590.0,650.0,4900.0,10.0,2786.43,600.0,5475.0,14.0,1197.86,995.0,1470.0,7.0
90012,2909.35,885.0,3800.0,126.0,3671.1,900.0,16000.0,82.0,4391.67,2850.0,7500.0,12.0,4450.0,4200.0,4700.0,2.0,,,,,2421.0,575.0,4045.0,65.0
90013,2936.82,721.0,6995.0,77.0,3517.62,2323.0,6000.0,34.0,4000.0,4000.0,4000.0,1.0,,,,,,,,,2439.46,1650.0,4200.0,35.0
90014,3180.61,1050.0,8000.0,44.0,4219.71,2190.0,6900.0,14.0,10043.5,4400.0,18000.0,10.0,75000.0,75000.0,75000.0,1.0,,,,,2194.4,700.0,4242.0,25.0
90015,3218.21,1200.0,6650.0,126.0,5799.29,2035.0,62222.0,83.0,12091.83,2900.0,25652.0,12.0,4500.0,4500.0,4500.0,1.0,,,,,2061.58,845.0,5000.0,69.0
90016,3065.53,1300.0,6000.0,99.0,4162.33,1795.0,12795.0,87.0,4221.49,2000.0,7500.0,39.0,4962.15,3650.0,6950.0,26.0,6248.75,5595.0,6800.0,4.0,2182.5,1300.0,4014.0,14.0
90017,3266.87,1250.0,8000.0,189.0,4222.54,908.0,8180.0,74.0,9435.36,2320.0,27075.0,25.0,25000.0,25000.0,25000.0,1.0,,,,,2123.76,750.0,3450.0,71.0
90018,1954.56,1250.0,3080.0,36.0,2881.93,2000.0,4200.0,41.0,108116.14,2600.0,2300000.0,22.0,3968.33,895.0,6500.0,9.0,4683.33,4000.0,5300.0,3.0,1474.31,1018.0,2046.0,16.0
90019,2118.99,1525.0,3950.0,87.0,3224.52,1700.0,6610.0,111.0,4779.97,1500.0,11500.0,90.0,5994.81,3500.0,19995.0,37.0,7362.64,5699.0,9995.0,14.0,1794.23,1095.0,5995.0,30.0
90020,2102.64,1250.0,5975.0,89.0,2929.31,1125.0,5995.0,54.0,3560.0,3300.0,3900.0,5.0,4897.5,4800.0,4995.0,2.0,21700.0,17000.0,35000.0,5.0,1552.82,975.0,2635.0,50.0
90021,4048.96,2365.0,12500.0,27.0,4295.0,4295.0,4295.0,1.0,,,,,,,,,,,,,3190.91,1495.0,9700.0,11.0
90022,1606.67,1450.0,1800.0,6.0,2285.0,1700.0,2995.0,7.0,3294.17,2195.0,4500.0,6.0,4250.0,4250.0,4250.0,1.0,4200.0,4200.0,4200.0,3.0,1200.0,1200.0,1200.0,1.0
90023,1605.0,1175.0,1995.0,4.0,2583.33,2500.0,2750.0,3.0,2898.57,2500.0,3200.0,7.0,3700.0,3700.0,3700.0,2.0,,,,,1114.0,1114.0,1114.0,1.0
90024,3125.42,1200.0,7250.0,122.0,5263.38,950.0,18500.0,161.0,10013.75,1695.0,40000.0,56.0,14257.62,750.0,100000.0,37.0,23050.0,7500.0,100000.0,12.0,2357.09,1395.0,8000.0,33.0
90025,2517.84,1150.0,7500.0,170.0,3903.69,760.0,25000.0,262.0,5143.6,1375.0,10000.0,109.0,5920.0,1258.0,13000.0,22.0,12995.0,12995.0,12995.0,1.0,2043.01,700.0,6000.0,70.0
90026,2566.43,1005.0,4650.0,130.0,3657.21,1400.0,12000.0,124.0,5078.88,2700.0,9500.0,58.0,7486.43,3500.0,18000.0,21.0,9995.0,9995.0,9995.0,1.0,2155.33,1050.0,5495.0,67.0
90027,2348.0,1000.0,4200.0,128.0,3734.05,1795.0,6500.0,59.0,6762.11,2670.0,20000.0,35.0,12485.0,3295.0,25000.0,18.0,20241.67,10955.0,40000.0,6.0,1621.93,1000.0,2799.0,44.0
90028,2845.51,1205.0,7500.0,202.0,4012.3,1883.0,14970.0,88.0,6983.04,1550.0,50000.0,23.0,6369.0,3895.0,7500.0,5.0,,,,,2159.63,1100.0,4100.0,97.0
90029,2065.1,1258.0,3500.0,70.0,3324.18,1850.0,6000.0,40.0,4303.24,2600.0,6250.0,17.0,5257.14,4000.0,8750.0,7.0,5443.8,1130.0,9000.0,5.0,1596.71,1083.0,2749.0,38.0
90031,2094.65,1400.0,3300.0,17.0,2904.11,1995.0,6600.0,28.0,3859.93,2750.0,6800.0,14.0,3766.67,3400.0,4200.0,3.0,4433.33,3600.0,4850.0,3.0,1342.5,840.0,2400.0,6.0
90032,1677.92,625.0,2600.0,12.0,2716.58,2000.0,3795.0,19.0,3595.83,2500.0,5500.0,12.0,5060.0,3795.0,6995.0,4.0,,,,,1736.25,1350.0,2200.0,4.0
90033,1666.25,1300.0,1950.0,16.0,2481.81,1925.0,4500.0,21.0,2952.43,2195.0,3600.0,14.0,3672.67,2800.0,4500.0,15.0,3203.13,1125.0,7625.0,16.0,1285.77,1000.0,1505.0,13.0
90034,2443.63,900.0,5545.0,207.0,3192.8,1825.0,5900.0,179.0,4961.91,1050.0,11500.0,64.0,6502.27,4495.0,10500.0,11.0,9073.75,7500.0,10900.0,4.0,2059.33,1269.0,4350.0,58.0
90035,2297.22,875.0,3660.0,54.0,3973.17,1950.0,30000.0,136.0,5720.37,2745.0,9995.0,73.0,9803.52,4495.0,19995.0,21.0,16437.5,13500.0,19500.0,8.0,2294.0,1595.0,3760.0,8.0
90036,3058.75,1325.0,5785.0,138.0,4082.99,1995.0,7800.0,156.0,5859.81,2000.0,13000.0,53.0,11647.2,5795.0,25000.0,20.0,24212.73,11995.0,39000.0,11.0,2412.25,1375.0,4965.0,52.0
90037,1614.62,923.0,1924.0,26.0,2341.7,1700.0,3150.0,20.0,2910.09,1095.0,4775.0,33.0,3012.5,2500.0,3200.0,4.0,5000.0,5000.0,5000.0,1.0,1367.45,940.0,1799.0,11.0
90038,2571.77,1375.0,3750.0,74.0,3425.91,1495.0,6500.0,92.0,5688.19,1219.0,21750.0,64.0,7428.13,1490.0,24995.0,8.0,18830.0,16995.0,19995.0,3.0,1854.1,700.0,3395.0,42.0
90039,2740.0,1600.0,4500.0,42.0,3609.09,1800.0,7500.0,43.0,6519.17,1995.0,15000.0,30.0,8623.75,6000.0,15000.0,4.0,5650.0,5500.0,5800.0,2.0,2408.06,975.0,3710.0,17.0
90040,1850.0,1850.0,1850.0,1.0,,,,,,,,,,,,,,,,,,,,
90041,1941.82,775.0,2800.0,22.0,3276.67,2050.0,5200.0,21.0,5029.28,2995.0,8400.0,18.0,4775.0,4500.0,5000.0,4.0,6650.0,6650.0,6650.0,1.0,2325.0,1600.0,2800.0,4.0
90042,2093.18,1200.0,3995.0,50.0,2926.8,940.0,5500.0,64.0,4450.72,2500.0,8500.0,25.0,5920.0,3900.0,7950.0,5.0,8750.0,7500.0,10000.0,2.0,1890.5,1450.0,2599.0,6.0
90043,1783.65,1319.0,2825.0,23.0,2441.86,1600.0,3750.0,36.0,3435.36,1000.0,5000.0,25.0,3064.46,1200.0,6000.0,13.0,5999.0,5999.0,5999.0,1.0,1403.75,1195.0,1595.0,4.0
90044,1711.0,1200.0,2096.0,21.0,2192.78,1520.0,2945.0,40.0,2718.0,1950.0,4000.0,20.0,3418.5,2000.0,6500.0,10.0,2943.75,600.0,4175.0,4.0,1407.86,1250.0,1520.0,7.0
90045,3062.19,1450.0,4030.0,84.0,3348.73,2395.0,4800.0,40.0,5489.56,3295.0,15000.0,36.0,7928.42,5900.0,14000.0,19.0,11611.25,6950.0,19995.0,4.0,2724.65,1545.0,4330.0,17.0
90046,2970.07,1250.0,12000.0,269.0,4495.98,1699.0,15000.0,240.0,9055.75,1500.0,29800.0,122.0,18169.93,1550.0,49000.0,54.0,22490.48,9000.0,42000.0,29.0,2456.51,1000.0,9999.0,74.0
90047,1714.0,1200.0,2200.0,16.0,2484.81,1500.0,3200.0,21.0,2992.83,1587.0,4600.0,35.0,3838.67,2500.0,5500.0,6.0,3200.0,3200.0,3200.0,2.0,1645.25,1500.0,2000.0,4.0
90048,3192.03,1175.0,14990.0,166.0,5251.18,2195.0,24000.0,122.0,8025.06,1210.0,30000.0,94.0,15173.92,1500.0,27000.0,39.0,22300.12,11000.0,41000.0,26.0,2535.21,1295.0,3563.0,14.0
90049,3000.07,1880.0,10000.0,73.0,4516.85,1420.0,12300.0,118.0,7255.28,3300.0,25000.0,74.0,13365.24,1930.0,57995.0,58.0,25756.43,8000.0,90000.0,28.0,2377.76,1320.0,5800.0,17.0
90056,1904.29,1795.0,2300.0,7.0,3052.86,2095.0,3700.0,14.0,5090.0,3850.0,7300.0,5.0,9166.67,6500.0,11000.0,3.0,7000.0,7000.0,7000.0,1.0,1555.0,1555.0,1555.0,1.0
90057,1868.77,1100.0,3000.0,35.0,2515.3,1350.0,3591.0,27.0,3186.25,2650.0,3800.0,4.0,3800.0,3800.0,3800.0,1.0,,,,,1567.1,995.0,2895.0,72.0
90058,,,,,,,,,,,,,,,,,,,,,1700.0,900.0,3300.0,3.0
90059,1750.0,1750.0,1750.0,1.0,2340.0,2100.0,2880.0,7.0,2914.0,2300.0,3300.0,9.0,3325.0,3250.0,3400.0,2.0,4050.0,3800.0,4400.0,4.0,,,,
90061,1055.5,716.0,1395.0,2.0,2111.36,1850.0,2300.0,11.0,2902.89,2300.0,3800.0,9.0,2848.75,2700.0,3000.0,4.0,3200.0,3200.0,3200.0,1.0,1378.33,1145.0,1495.0,3.0
90062,1816.6,1695.0,2500.0,10.0,2394.85,1463.0,3750.0,13.0,3437.96,2600.0,4400.0,23.0,3400.0,3400.0,3400.0,2.0,4995.0,4995.0,4995.0,1.0,1237.5,815.0,1660.0,2.0
90063,1520.0,675.0,1950.0,11.0,2478.33,2195.0,3000.0,6.0,2809.0,1800.0,3800.0,11.0,3516.67,2950.0,4500.0,6.0,,,,,4150.0,1700.0,6600.0,2.0
90064,2794.33,1550.0,4830.0,40.0,4190.51,1699.0,9966.0,97.0,6412.9,3850.0,17995.0,48.0,10380.29,5495.0,18000.0,17.0,12699.29,9995.0,15000.0,7.0,2339.79,1495.0,3480.0,14.0
90065,2199.36,899.0,3900.0,42.0,3116.97,1850.0,6750.0,35.0,5094.1,1500.0,12500.0,41.0,4693.75,2200.0,7500.0,8.0,6718.75,5000.0,8500.0,8.0,1913.0,1395.0,2295.0,5.0
90066,2549.36,1000.0,5180.0,159.0,3423.65,1350.0,5950.0,95.0,5646.17,2999.0,8495.0,53.0,9186.0,4795.0,18995.0,20.0,10310.5,1309.0,20000.0,8.0,2070.8,465.0,3611.0,41.0
90067,6090.56,2520.0,10500.0,9.0,9379.72,3895.0,23500.0,53.0,12607.5,4695.0,24500.0,6.0,35000.0,35000.0,35000.0,1.0,,,,,11300.0,11300.0,11300.0,1.0
90068,2812.81,1495.0,10500.0,79.0,4753.64,1800.0,11900.0,72.0,8262.73,1695.0,23000.0,51.0,40423.53,5099.0,1399999.0,53.0,17986.75,6250.0,40000.0,16.0,2013.53,1395.0,4475.0,15.0
90069,3683.29,1800.0,25000.0,150.0,6312.99,2000.0,24000.0,203.0,14662.61,3995.0,85000.0,84.0,31213.07,4999.0,150000.0,46.0,34880.58,9900.0,150000.0,24.0,2541.37,1600.0,4995.0,19.0
90071,,,,,1995.0,1995.0,1995.0,1.0,2852.0,2852.0,2852.0,1.0,,,,,,,,,,,,
90077,300000.0,300000.0,300000.0,1.0,8298.33,4900.0,15000.0,3.0,10265.59,4545.0,25900.0,17.0,18609.45,7500.0,50000.0,20.0,32215.19,7500.0,165000.0,16.0,,,,
90201,1546.36,1150.0,1950.0,11.0,2293.92,1795.0,2810.0,13.0,2661.67,2220.0,2850.0,6.0,3100.0,3100.0,3100.0,1.0,,,,,1433.0,932.0,2650.0,7.0
90210,5739.33,1600.0,16950.0,33.0,8940.54,2795.0,25265.0,57.0,12855.91,4950.0,45000.0,58.0,21896.39,6500.0,90000.0,75.0,37564.11,9000.0,250000.0,79.0,2208.75,1795.0,3145.0,4.0
90211,2756.87,1350.0,4400.0,30.0,4342.82,2125.0,6600.0,28.0,9082.62,4350.0,29500.0,21.0,11349.0,5850.0,28500.0,10.0,19166.67,8500.0,35000.0,3.0,2059.4,1750.0,2999.0,5.0
90212,3231.51,1795.0,6450.0,39.0,5766.29,2850.0,17500.0,58.0,7627.66,3495.0,20000.0,50.0,11292.86,5800.0,14500.0,7.0,16249.17,11000.0,19995.0,6.0,2826.93,1795.0,8499.0,15.0
90220,,,,,2335.0,1950.0,2950.0,7.0,2715.5,1600.0,3500.0,4.0,3365.0,2875.0,4250.0,3.0,,,,,825.0,600.0,1050.0,2.0
90221,1521.25,1495.0,1600.0,4.0,2188.0,1850.0,2595.0,5.0,2819.71,1550.0,4500.0,7.0,,,,,,,,,1650.0,1450.0,1850.0,2.0
90222,1687.5,1675.0,1700.0,2.0,2280.0,1450.0,2950.0,5.0,3400.0,3300.0,3500.0,3.0,,,,,3200.0,3200.0,3200.0,2.0,,,,
90230,2473.81,1495.0,3675.0,42.0,3344.71,1295.0,6250.0,62.0,5105.74,1300.0,10500.0,27.0,7204.0,5300.0,12000.0,10.0,7400.0,7300.0,7500.0,2.0,2068.33,1000.0,2965.0,6.0
90232,3368.11,1515.0,5950.0,37.0,4078.21,2100.0,7450.0,43.0,5076.3,3495.0,8800.0,23.0,7450.0,6800.0,9000.0,5.0,20000.0,20000.0,20000.0,1.0,2551.63,1295.0,3647.0,16.0
90240,1761.25,1650.0,1850.0,4.0,2465.83,1950.0,2900.0,6.0,3681.11,900.0,7500.0,9.0,3800.0,3800.0,3800.0,1.0,,,,,,,,
90241,1739.21,1525.0,1998.0,14.0,2352.5,1500.0,3600.0,12.0,3713.18,2900.0,5500.0,11.0,3655.0,3200.0,4000.0,5.0,,,,,1567.14,975.0,1850.0,7.0
90242,1707.0,1400.0,2150.0,14.0,2283.65,1807.0,2980.0,17.0,3018.8,2495.0,3500.0,5.0,,,,,4500.0,4500.0,4500.0,1.0,1779.0,1495.0,2105.0,5.0
90245,2419.5,1700.0,2950.0,16.0,2924.13,2200.0,3995.0,23.0,4338.26,2900.0,6300.0,23.0,6531.67,5600.0,7000.0,3.0,9627.33,8500.0,10500.0,3.0,1915.0,1750.0,2100.0,3.0
90247,1907.37,1475.0,3275.0,19.0,2456.93,1500.0,5000.0,44.0,3377.29,2400.0,4995.0,31.0,3960.56,3100.0,4700.0,9.0,3400.0,3400.0,3400.0,1.0,1564.8,1100.0,2400.0,5.0
90248,1686.67,1425.0,1885.0,3.0,2775.0,2150.0,3400.0,2.0,3670.0,3000.0,4095.0,12.0,,,,,,,,,,,,
90249,1701.25,1350.0,2800.0,8.0,2601.11,1700.0,3900.0,9.0,3599.69,2950.0,4600.0,16.0,3424.75,2500.0,4200.0,4.0,,,,,1550.0,1550.0,1550.0,1.0
90250,1637.06,550.0,2640.0,105.0,2459.34,1725.0,4500.0,65.0,3548.33,1500.0,5200.0,45.0,3980.91,2200.0,5000.0,11.0,5500.0,5500.0,5500.0,1.0,1468.88,1100.0,1950.0,34.0
90254,3511.67,1000.0,7500.0,18.0,5459.67,2750.0,19000.0,45.0,10049.6,4000.0,40000.0,52.0,15511.94,5600.0,25000.0,18.0,24150.0,11000.0,59000.0,6.0,2292.0,1650.0,3500.0,9.0
90255,1609.29,1295.0,2000.0,14.0,2222.5,1530.0,2850.0,8.0,3956.43,1500.0,11000.0,7.0,2573.75,650.0,3600.0,4.0,,,,,951.0,845.0,1083.0,3.0
90260,1674.58,1100.0,2100.0,12.0,2582.37,1950.0,3200.0,19.0,3561.2,3000.0,4900.0,20.0,4100.0,3800.0,4400.0,2.0,,,,,2170.71,1250.0,2550.0,7.0
90262,1705.42,1375.0,2300.0,12.0,2236.5,1700.0,3000.0,6.0,2900.0,2600.0,3200.0,4.0,3400.0,3400.0,3400.0,1.0,,,,,1100.0,1100.0,1100.0,1.0
90265,6982.04,2995.0,25000.0,28.0,12215.64,3200.0,75000.0,86.0,25336.24,1450.0,150000.0,119.0,41864.15,6700.0,150000.0,109.0,65956.14,9500.0,325000.0,57.0,5410.71,2295.0,19000.0,7.0
90266,3717.83,1530.0,6500.0,23.0,4803.9,2250.0,10600.0,51.0,10164.41,2900.0,42000.0,78.0,15465.97,2200.0,45000.0,36.0,13909.48,6000.0,25000.0,21.0,2037.0,1700.0,2400.0,4.0
90270,1500.0,1500.0,1500.0,1.0,2233.33,2100.0,2500.0,3.0,3000.0,3000.0,3000.0,1.0,,,,,,,,,,,,
90272,5970.42,2450.0,25000.0,12.0,7700.53,3198.0,20000.0,30.0,99214.17,4500.0,4250000.0,48.0,16551.34,6000.0,50000.0,41.0,27878.45,10500.0,89500.0,20.0,3650.0,3650.0,3650.0,2.0
90274,2466.67,2400.0,2600.0,3.0,3614.5,2800.0,6500.0,10.0,6427.0,4000.0,10500.0,20.0,8881.15,5500.0,15000.0,27.0,16477.14,5700.0,48000.0,14.0,1950.0,1950.0,1950.0,1.0
90275,2850.0,2850.0,2850.0,1.0,3679.35,2695.0,8000.0,23.0,4934.86,3200.0,16000.0,35.0,6500.51,4100.0,30000.0,49.0,7542.52,5500.0,11000.0,21.0,2881.33,1385.0,4200.0,3.0
90277,2895.16,868.0,5200.0,79.0,3970.93,2165.0,8975.0,114.0,5231.46,1895.0,14000.0,69.0,7815.68,4200.0,17500.0,22.0,7900.0,1100.0,11500.0,5.0,3205.0,2295.0,4295.0,10.0
90278,1924.6,1350.0,2595.0,25.0,2949.03,1800.0,4600.0,63.0,4794.93,2795.0,7950.0,59.0,5708.48,4150.0,7300.0,23.0,7566.67,7000.0,7900.0,3.0,2998.33,1795.0,3750.0,3.0
90280,1701.42,950.0,2500.0,12.0,2392.5,1650.0,2975.0,10.0,3031.25,2500.0,3800.0,12.0,,,,,,,,,4490.0,1395.0,9568.0,3.0
90290,2850.0,2850.0,2850.0,1.0,6116.67,4500.0,8150.0,3.0,8560.0,6000.0,12000.0,10.0,10240.0,6750.0,14500.0,5.0,9747.5,5500.0,13995.0,2.0,2975.0,2975.0,2975.0,1.0
90291,3715.09,1450.0,8500.0,116.0,5778.61,2550.0,19500.0,106.0,10413.32,4750.0,28000.0,90.0,17021.62,995.0,42000.0,37.0,26000.0,12000.0,50000.0,6.0,2921.56,995.0,13500.0,54.0
90292,3951.96,1282.0,6750.0,75.0,5671.9,2595.0,13500.0,140.0,8342.25,5100.0,15000.0,40.0,14715.38,6500.0,30000.0,13.0,19500.0,19500.0,19500.0,1.0,2810.56,650.0,4500.0,25.0
90293,3020.45,1650.0,4950.0,44.0,4022.79,2000.0,6900.0,43.0,7908.61,3695.0,15500.0,18.0,13230.0,6200.0,20000.0,5.0,14136.25,7600.0,18950.0,4.0,2635.2,1950.0,3900.0,5.0
90301,1867.97,1150.0,2500.0,32.0,2517.56,1750.0,3750.0,50.0,4000.8,2837.0,5500.0,15.0,5840.83,4200.0,6895.0,6.0,7700.0,7700.0,7700.0,1.0,1670.0,830.0,3195.0,6.0
90302,1981.16,1495.0,3140.0,37.0,2649.6,1645.0,4300.0,70.0,3756.74,2400.0,7000.0,23.0,4758.0,2995.0,6800.0,5.0,,,,,1522.0,550.0,2580.0,8.0
90303,1623.57,1450.0,1900.0,7.0,2397.27,1695.0,3800.0,22.0,3269.44,2700.0,4000.0,9.0,,,,,2950.0,2500.0,3400.0,2.0,1530.14,1250.0,1695.0,7.0
90304,1518.75,700.0,2700.0,8.0,2300.0,2300.0,2300.0,1.0,4347.5,2700.0,5995.0,2.0,4133.33,3500.0,4650.0,3.0,,,,,1837.0,1250.0,2853.0,4.0
90305,1980.0,1825.0,2250.0,5.0,3368.9,1995.0,5500.0,10.0,4218.06,2395.0,7000.0,16.0,5343.33,4260.0,8500.0,6.0,,,,,1738.0,1575.0,1850.0,3.0
90401,3996.83,1930.0,12857.0,48.0,7510.45,2150.0,27500.0,42.0,15174.58,4875.0,27000.0,12.0,32500.0,25000.0,40000.0,2.0,,,,,3552.3,1750.0,17500.0,20.0
90402,4799.24,1705.0,9500.0,25.0,8637.72,3750.0,18600.0,29.0,13156.76,5300.0,39500.0,25.0,18401.88,7500.0,38995.0,16.0,38771.56,16000.0,125000.0,16.0,5000.0,2650.0,8500.0,4.0
90403,3192.68,1800.0,7116.0,88.0,5106.22,2100.0,11995.0,112.0,6773.56,3231.0,13995.0,39.0,15646.88,5998.0,40000.0,8.0,40416.67,22400.0,75000.0,3.0,2219.83,1251.0,3780.0,12.0
90404,2811.69,1737.0,4500.0,51.0,3940.79,2350.0,6750.0,92.0,5400.48,3850.0,7200.0,25.0,3422.5,1095.0,5750.0,2.0,15000.0,10000.0,20000.0,2.0,2511.29,1495.0,3448.0,17.0
90405,3093.53,1395.0,8500.0,85.0,5091.94,1300.0,14900.0,79.0,7280.61,1095.0,18500.0,31.0,12450.0,7900.0,32500.0,8.0,19497.5,11995.0,25000.0,4.0,2001.26,300.0,3250.0,19.0
90501,1743.0,1275.0,2500.0,25.0,2610.93,1695.0,8000.0,46.0,3579.03,2000.0,7000.0,31.0,4203.18,2000.0,5000.0,11.0,5000.0,4500.0,5500.0,3.0,1454.0,795.0,2550.0,5.0
90502,2109.75,950.0,2999.0,8.0,2582.5,2250.0,3000.0,6.0,3478.82,3000.0,3800.0,17.0,,,,,,,,,2371.0,1700.0,3042.0,2.0
90503,2309.72,1300.0,3190.0,39.0,2819.69,1300.0,3500.0,51.0,4058.16,2000.0,5500.0,38.0,4832.35,3800.0,6000.0,17.0,4950.0,4950.0,4950.0,1.0,2054.36,1595.0,2400.0,11.0
90504,1787.22,1200.0,2175.0,9.0,2900.21,2075.0,4550.0,19.0,3661.43,2495.0,7000.0,21.0,4469.0,3200.0,6000.0,5.0,3850.0,3850.0,3850.0,1.0,1775.5,1262.0,2350.0,4.0
90505,2089.23,1575.0,2710.0,13.0,2948.57,1895.0,4600.0,42.0,4345.78,2750.0,7000.0,27.0,5189.29,4100.0,7500.0,14.0,,,,,2113.86,1600.0,2675.0,7.0
90601,1752.14,1075.0,2200.0,14.0,2378.12,1850.0,3000.0,17.0,3441.85,2700.0,4795.0,13.0,4113.89,2500.0,5500.0,9.0,,,,,1386.25,1250.0,1500.0,4.0
90602,1495.67,632.0,1875.0,18.0,2521.3,1700.0,5495.0,23.0,3872.86,2980.0,4600.0,7.0,5250.0,5250.0,5250.0,1.0,4950.0,4950.0,4950.0,1.0,1681.0,1350.0,1995.0,4.0
90603,1930.56,1575.0,2595.0,9.0,2778.33,1695.0,3800.0,6.0,3581.67,3200.0,4500.0,6.0,3950.0,3800.0,4100.0,2.0,,,,,2000.0,2000.0,2000.0,1.0
90604,1499.0,900.0,1850.0,10.0,2311.43,1500.0,3500.0,14.0,2950.0,1600.0,3700.0,9.0,4033.33,3600.0,4300.0,3.0,3900.0,3900.0,3900.0,1.0,1549.17,1350.0,1690.0,6.0
90605,1942.14,1500.0,2500.0,7.0,2554.44,1850.0,2900.0,9.0,2805.0,1400.0,3500.0,9.0,3300.0,3300.0,3300.0,1.0,,,,,1890.0,1350.0,2500.0,5.0
90606,1699.0,1450.0,1950.0,5.0,2427.63,1875.0,2896.0,8.0,2998.75,2500.0,3675.0,8.0,3181.67,2800.0,3400.0,3.0,,,,,2161.33,1650.0,2805.0,3.0
90638,2055.67,800.0,2643.0,12.0,2931.67,2400.0,3500.0,6.0,3413.52,2000.0,4000.0,27.0,3912.0,3200.0,4499.0,12.0,4050.0,3800.0,4350.0,3.0,1754.0,1485.0,2023.0,2.0
90640,1632.5,950.0,2100.0,18.0,2428.75,1895.0,3300.0,20.0,3158.67,2700.0,3995.0,15.0,3800.0,3800.0,3800.0,1.0,3345.0,1200.0,4100.0,4.0,1668.17,900.0,2150.0,6.0
90650,1640.25,950.0,2012.0,12.0,2306.4,1295.0,3495.0,20.0,2799.78,1500.0,4150.0,23.0,2790.0,1150.0,3950.0,5.0,,,,,1845.0,1425.0,2296.0,7.0
90660,1825.0,1750.0,1900.0,3.0,2447.5,1635.0,3425.0,8.0,3120.71,2600.0,3495.0,7.0,4200.0,4200.0,4200.0,1.0,3850.0,3800.0,3900.0,2.0,1688.17,1500.0,1959.0,6.0
90670,2650.0,2650.0,2650.0,1.0,2465.0,2465.0,2465.0,1.0,2797.5,2495.0,3250.0,4.0,3500.0,3500.0,3500.0,1.0,,,,,1657.33,932.0,2095.0,3.0
90701,1665.0,1050.0,2250.0,5.0,2202.5,675.0,2750.0,8.0,3070.71,2500.0,3950.0,7.0,3300.0,3300.0,3300.0,1.0,,,,,2250.0,2250.0,2250.0,1.0
90703,2347.5,2095.0,2600.0,2.0,2782.78,2300.0,3500.0,9.0,3441.1,2850.0,3999.0,31.0,3827.14,3200.0,4780.0,21.0,4500.0,4500.0,4500.0,1.0,2592.0,2295.0,3000.0,3.0
90704,,,,,,,,,,,,,,,,,,,,,1200.0,1200.0,1200.0,1.0
90706,1703.86,1212.0,2100.0,29.0,2321.51,1595.0,2980.0,37.0,3365.71,2000.0,4200.0,21.0,2497.5,1600.0,3395.0,2.0,,,,,1687.75,1450.0,1935.0,8.0
90710,1628.5,1295.0,1900.0,10.0,2319.33,1650.0,3625.0,15.0,3346.5,2690.0,4195.0,26.0,3850.0,3800.0,4000.0,4.0,,,,,1300.0,1250.0,1350.0,2.0
90712,1848.33,1650.0,2100.0,3.0,2673.33,1800.0,3000.0,9.0,3372.06,2400.0,3850.0,17.0,3683.33,3500.0,3950.0,3.0,3995.0,3995.0,3995.0,1.0,1780.0,1715.0,1845.0,2.0
